,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
9296,LATAM,Chile,CLP,2018-11-12,0.0,15321657.67527469,18660033.866353653
9297,LATAM,Chile,CLP,2018-11-13,0.0,11678481.19885644,13943086.615861371
9298,LATAM,Chile,CLP,2018-11-14,0.0,11089692.474961387,14181454.706432642
9299,LATAM,Chile,CLP,2018-11-15,0.0,9609153.557334473,12065186.314468978
9300,LATAM,Chile,CLP,2018-11-16,0.0,10276023.261433756,13730847.428948274
9301,LATAM,Chile,CLP,2018-11-17,0.0,16162222.33482659,19781321.405364137
9302,LATAM,Chile,CLP,2018-11-18,0.0,18521249.820163842,19814016.874262504
9303,LATAM,Chile,CLP,2018-11-19,0.0,7510998.605790448,10309954.94605548
9304,LATAM,Chile,CLP,2018-11-20,0.0,8174877.465397741,11136176.844688011
9305,LATAM,Chile,CLP,2018-11-21,0.0,10107348.493846955,11221099.104737623
9306,LATAM,Chile,CLP,2018-11-22,0.0,9573795.129118053,11407280.282084208
9307,LATAM,Chile,CLP,2018-11-23,0.0,65681576.987262264,67816441.78564502
9308,LATAM,Chile,CLP,2018-11-24,0.0,21482761.881729096,21836518.96824172
9309,LATAM,Chile,CLP,2018-11-25,0.0,13063645.408794325,15686261.557811601
9310,LATAM,Chile,CLP,2018-11-26,0.0,13051367.438294614,13801683.919160793
9311,LATAM,Chile,CLP,2018-11-27,0.0,10899988.747435346,12416648.204764046
9312,LATAM,Chile,CLP,2018-11-28,0.0,9451157.21230426,10806656.67576233
9313,LATAM,Chile,CLP,2018-11-29,0.0,11301213.859196406,13644928.220734665
9314,LATAM,Chile,CLP,2018-11-30,0.0,15666264.99308219,16853196.03009095
9315,LATAM,Chile,CLP,2018-12-01,0.0,29038716.203394707,33412013.206316926
9316,LATAM,Chile,CLP,2018-12-02,0.0,31153743.94875429,34732792.288383536
9317,LATAM,Chile,CLP,2018-12-03,0.0,12475893.510989828,14133029.61094677
9318,LATAM,Chile,CLP,2018-12-04,0.0,12791514.007069029,12943050.127996543
9319,LATAM,Chile,CLP,2018-12-05,0.0,15581316.147748204,17252600.049872443
9320,LATAM,Chile,CLP,2018-12-06,0.0,12534545.079197943,13402869.206516242
9321,LATAM,Chile,CLP,2018-12-07,0.0,22461933.352241654,22472124.377918065
